"","variable","n","mean","variance","clinic_name"
"1","resultpositive",3,0,0,"1 laboratory"
"2","ct_result",3,45,0,"1 laboratory"
"3","gendermale",3,0.666666666666667,0.333333333333333,"1 laboratory"
"4","age",3,9.33333333333333,17.3333333333333,"1 laboratory"
"5","drive_thru_ind_factor1",3,0.333333333333333,0.333333333333333,"1 laboratory"
"6","std_ct_result",3,0.222408311948575,0,"1 laboratory"
"7","std_age",3,-0.294430714628064,0.0638739951003097,"1 laboratory"
"8","log_ct_result",3,3.80666248977032,0,"1 laboratory"
"9","log_age",3,2.17008611350772,0.185640744855578,"1 laboratory"
"10","ct_result_sq",3,2025,0,"1 laboratory"
"11","age_sq",3,98.6666666666667,7301.33333333333,"1 laboratory"
"12","resultpositiveXct_result",3,0,0,"1 laboratory"
"13","resultpositiveXgendermale",3,0,0,"1 laboratory"
"14","resultpositiveXage",3,0,0,"1 laboratory"
"15","resultpositiveXdrive_thru_ind_factor1",3,0,0,"1 laboratory"
"16","resultpositiveXstd_ct_result",3,0,0,"1 laboratory"
"17","resultpositiveXstd_age",3,0,0,"1 laboratory"
"18","ct_resultXgendermale",3,30,675,"1 laboratory"
"19","ct_resultXage",3,420,35100,"1 laboratory"
"20","ct_resultXdrive_thru_ind_factor1",3,15,675,"1 laboratory"
"21","ct_resultXstd_ct_result",3,10.0083740376859,0,"1 laboratory"
"22","ct_resultXstd_age",3,-13.2493821582629,129.344840078127,"1 laboratory"
"23","gendermaleXage",3,7.33333333333333,49.3333333333333,"1 laboratory"
"24","gendermaleXdrive_thru_ind_factor1",3,0.333333333333333,0.333333333333333,"1 laboratory"
"25","gendermaleXstd_ct_result",3,0.148272207965716,0.0164884857412715,"1 laboratory"
"26","gendermaleXstd_age",3,-0.128837681631266,0.0456147047658658,"1 laboratory"
"27","ageXdrive_thru_ind_factor1",3,2.66666666666667,21.3333333333333,"1 laboratory"
"28","ageXstd_ct_result",3,2.07581091152003,0.857401258546118,"1 laboratory"
"29","ageXstd_age",3,-2.04654560407252,2.68074143725779,"1 laboratory"
"30","drive_thru_ind_factor1Xstd_ct_result",3,0.0741361039828582,0.0164884857412715,"1 laboratory"
"31","drive_thru_ind_factor1Xstd_age",3,-0.125123356124332,0.0469675627434491,"1 laboratory"
"32","std_ct_resultXstd_age",3,-0.0654838382262402,0.0031595563723485,"1 laboratory"
"33","resultpositive",2,0,0,"3  laboratory"
