"","resultpositive","ct_result","gendermale","age","drive_thru_ind_factor1","std_ct_result","std_age","log_ct_result","log_age","ct_result_sq","age_sq","resultpositiveXct_result","resultpositiveXgendermale","resultpositiveXage","resultpositiveXdrive_thru_ind_factor1","resultpositiveXstd_ct_result","resultpositiveXstd_age","ct_resultXgendermale","ct_resultXage","ct_resultXdrive_thru_ind_factor1","ct_resultXstd_ct_result","ct_resultXstd_age","gendermaleXage","gendermaleXdrive_thru_ind_factor1","gendermaleXstd_ct_result","gendermaleXstd_age","ageXdrive_thru_ind_factor1","ageXstd_ct_result","ageXstd_age","drive_thru_ind_factor1Xstd_ct_result","drive_thru_ind_factor1Xstd_age","std_ct_resultXstd_age","clinic_name"
"resultpositive",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"ct_result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"gendermale",0,0,0.333333333333333,1.66666666666667,0.166666666666667,0,0.101174192181164,0,0.189163322139831,0,31.3333333333333,0,0,0,0,0,0,15,75,7.5,0,4.55283864815239,3.66666666666667,0.166666666666667,0.0741361039828582,-0.0644188408156332,1.33333333333333,0.370680519914291,0.467064494934915,0.0370680519914291,-0.0625616780621659,0.0225019812957734,"1 laboratory"
"age",0,0,1.66666666666667,17.3333333333333,-0.666666666666667,0,1.05221159868411,0,1.78524029260229,0,354.666666666667,0,0,0,0,0,0,75,780,-30,0,47.3495219407849,27.3333333333333,-0.666666666666667,0.370680519914291,0.224246433700121,-5.33333333333333,3.85507740710863,6.60576078821364,-0.148272207965716,0.250246712248664,0.234020605476044,"1 laboratory"
"drive_thru_ind_factor1",0,0,0.166666666666667,-0.666666666666667,0.333333333333333,0,-0.0404696768724657,0,-0.0453222859139403,0,-17.3333333333333,0,0,0,0,0,0,7.5,-30,15,0,-1.82113545926096,0.333333333333333,0.333333333333333,0.0370680519914291,-0.123266193370864,2.66666666666667,-0.148272207965716,-0.478207471455719,0.0741361039828582,-0.125123356124332,-0.00900079251830937,"1 laboratory"
"std_ct_result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"std_age",0,0,0.101174192181164,1.05221159868411,-0.0404696768724657,0,0.0638739951003097,0,0.108372146671981,0,21.5298680961518,0,0,0,0,0,0,4.55283864815239,47.3495219407849,-1.82113545926096,0,2.87432977951394,1.65925675177109,-0.0404696768724657,0.0225019812957734,0.0136127710674701,-0.323757414979726,0.234020605476044,0.400999506893716,-0.00900079251830937,0.0151911053746505,0.0142061074276714,"1 laboratory"
"log_ct_result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
"log_age",0,0,0.189163322139831,1.78524029260229,-0.0453222859139403,0,0.108372146671981,0,0.185640744855578,0,36.248673283013,0,0,0,0,0,0,8.51234949629238,80.3358131671029,-2.03950286612731,0,4.87674660023915,2.92022022544127,-0.0453222859139403,0.0420714951597042,0.0143997619373266,-0.362578287311522,0.397052279900254,0.663355198156482,-0.0100800531037701,0.0170126295623362,0.0241028662035587,"1 laboratory"
"ct_result_sq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1 laboratory"
